Date,Open,High,Low,Close_,Adj_Close__,Volume
"May 12, 2019",73.6,73.6,73.6,73.6,73.6,-
"Mar 26, 2019",73.6,73.6,73.6,73.6,73.6,-
"Nov 26, 2019",77.6,77.6,77.6,77.6,77.6,-
"Apr 15, 2019",77.6,77.6,77.6,77.6,77.6,-
"Apr 11, 2019",77.6,77.6,77.6,77.6,77.6,-
"Aug 04, 2021",81.6,81.6,81.6,81.6,81.6,-
"Apr 12, 2023",125.6,125.6,125.6,125.6,125.6,-
"Mar 06, 2023",125.6,125.6,125.6,125.6,125.6,-
"Feb 09, 2023",131.45,131.45,131.45,131.45,131.45,-
"Jun 03, 2020",65.85,65.85,65.85,65.85,65.85,-
"May 07, 2020",65.85,65.85,65.85,65.85,65.85,-
"May 06, 2020",65.85,65.85,65.85,65.85,65.85,-
"Apr 29, 2020",65.85,65.85,65.85,65.85,65.85,-
"Apr 15, 2020",65.85,65.85,65.85,65.85,65.85,-
"Apr 07, 2020",65.85,65.85,65.85,65.85,65.85,-
"Dec 22, 2020",69.85,69.85,69.85,69.85,69.85,-
"Jan 12, 2021",73.85,73.85,73.85,73.85,73.85,-
"Jul 15, 2021",77.85,77.85,77.85,77.85,77.85,-
"Oct 08, 2019",77.85,77.85,77.85,77.85,77.85,-
"Aug 18, 2021",81.85,81.85,81.85,81.85,81.85,-
"Sep 01, 2022",311.65,311.65,311.65,311.65,311.65,-
"Sep 10, 2019",74.1,74.1,74.1,74.1,74.1,-
"Jun 06, 2019",74.1,74.1,74.1,74.1,74.1,-
"Jul 18, 2019",78.1,78.1,78.1,78.1,78.1,-
"Apr 18, 2023",126.1,126.1,126.1,126.1,126.1,-
"Aug 17, 2022",281.15,281.15,281.15,281.15,281.15,-
"Oct 06, 2020",66.35,66.35,66.35,66.35,66.35,-
"Oct 05, 2020",66.35,66.35,66.35,66.35,66.35,-
"Sep 08, 2020",66.35,66.35,66.35,66.35,66.35,-
"Jun 15, 2020",66.35,66.35,66.35,66.35,66.35,-
"Jun 07, 2020",66.35,66.35,66.35,66.35,66.35,-
"Apr 16, 2020",66.35,66.35,66.35,66.35,66.35,-
"Mar 27, 2019",74.35,74.35,74.35,74.35,74.35,-
"Nov 21, 2019",78.35,78.35,78.35,78.35,78.35,-
"May 29, 2023",90.35,90.35,90.35,90.35,90.35,-
"Apr 17, 2022",196.7,196.7,196.7,196.7,196.7,-
"Sep 08, 2022",298.15,298.15,298.15,298.15,298.15,-
"Mar 08, 2020",66.6,66.6,66.6,66.6,66.6,-
"Aug 27, 2019",70.6,70.6,70.6,70.6,70.6,-
"Jan 08, 2020",74.6,74.6,74.6,74.6,74.6,-
"Dec 17, 2019",74.6,74.6,74.6,74.6,74.6,-
"Dec 16, 2019",74.6,74.6,74.6,74.6,74.6,-
"Dec 13, 2019",74.6,74.6,74.6,74.6,74.6,-
"Oct 20, 2019",78.6,78.6,78.6,78.6,78.6,-
"Apr 09, 2019",78.6,78.6,78.6,78.6,78.6,-
"Jun 12, 2022",197.45,197.45,197.45,197.45,197.45,-
"Aug 18, 2022",298.9,298.9,298.9,298.9,298.9,-
"Mar 15, 2020",66.85,66.85,66.85,66.85,66.85,-
"Aug 06, 2020",70.85,70.85,70.85,70.85,70.85,-
"Jul 15, 2020",70.85,70.85,70.85,70.85,70.85,-
"Sep 09, 2019",74.85,74.85,74.85,74.85,74.85,-
"Jul 29, 2019",74.85,74.85,74.85,74.85,74.85,-
"Jul 28, 2019",74.85,74.85,74.85,74.85,74.85,-
"Jul 15, 2019",74.85,74.85,74.85,74.85,74.85,-
"Jun 24, 2019",74.85,74.85,74.85,74.85,74.85,-
"May 06, 2019",74.85,74.85,74.85,74.85,74.85,-
"Feb 28, 2019",78.85,78.85,78.85,78.85,78.85,-
